Id,Prediction
0,4467935.04167033
1,3788039.06217332
2,3080706.06531618
3,2947020.31363167
4,3008794.77537808
5,4368630.21411614
6,3936038.54995237
7,2854401.40853557
8,5006751.49347594
9,3536023.42613376
10,4278965.07145347
11,4378949.78652055
12,4015614.81024362
13,4236128.87364123
14,3805062.04884631
15,4039794.48027678
16,4711113.42948423
17,3150845.68926897
18,4030185.71923026
19,2995289.38550047
20,2240798.01138334
21,4552086.07732442
22,4240204.6739335
23,4573571.2154053
24,4175074.76449051
25,3761567.7346619
26,3685990.80840456
27,4442583.27487493
28,2886824.62298883
29,4031116.6521625
30,3421774.75781138
31,2577184.93588874
32,2934420.9503948
33,4062921.1898635
34,2568830.10555629
35,3726120.81692245
36,3598820.64939453
37,3581090.17594511
38,3433540.28155967
39,3161547.89259665
40,4478267.1843796
41,4257162.58744382
42,3568983.96417684
43,6047771.99501299
44,4351602.67585696
45,3898414.68006193
46,3106765.5073119
47,2284104.4747891
48,4721817.59511808
49,4039469.45698889
50,4527386.73405259
51,2997617.83873299
52,4503748.62826362
53,2649265.29803278
54,3470290.87112227
55,3954118.06696141
56,4303423.66378769
57,3054275.25942022
58,3985555.37595936
59,5042974.33010126
60,2652189.52718551
61,3464773.92185616
62,3671355.57727517
63,3875022.64233578
64,4419833.45069878
65,6563011.40029102
66,5693035.09987818
67,5610208.22883844
68,4460089.27302395
69,4200782.96444511
70,4392371.67918133
71,2423961.41202077
72,4437840.43190218
73,3826798.32410475
74,5809725.35134444
75,3913147.2405365
76,4327329.22714468
77,3550062.76150994
78,4644014.09505292
79,4254318.01942989
80,4309142.72539582
81,4413182.92145422
82,3754214.91949767
83,4765639.72506757
84,4922000.53640791
85,2100355.85322927
86,4208771.82766704
87,4152965.37097112
88,3710447.74223276
89,2924127.43669596
90,4183273.32897143
91,3997832.35807255
92,3709669.50116412
93,3159324.17916132
94,4259458.99995736
95,2734789.70831191
96,4390455.36274279
97,4675800.69167369
98,3278726.77409118
99,4312746.55046269
100,3573387.42507399
101,2863593.69561821
102,3288216.53624339
103,3347723.50950304
104,3562900.93061992
105,3209199.05468316
106,4507971.07839896
107,5078819.03369375
108,4452172.29836272
109,3991368.65608495
110,4963627.70823357
111,3245276.37581535
112,5060009.28618513
113,3768859.68568764
114,4105311.33506675
115,5008645.75987577
116,2980639.94294711
117,4996543.57418481
118,4123016.92589666
119,4221028.25581641
120,4847033.47123582
121,4575070.00905101
122,3970020.42497286
123,6297839.84318082
124,2750188.7674156
125,3818733.50089644
126,3866234.15039837
127,4274878.30359705
128,3398104.93970664
129,4233721.80347034
130,2539807.55729615
131,4298924.54282518
132,5193353.26244041
133,3380285.01651381
134,4406337.29501865
135,3874475.75001612
136,4118827.39701083
137,4075628.26595998
138,3520432.51640477
139,5214834.22259201
140,4566744.19613338
141,2703939.52001311
142,4294461.36414817
143,2722749.02732797
144,5024212.27725671
145,3488373.30449909
146,4991576.51749392
147,3448595.55649748
148,5096385.23428488
149,5118798.05754216
150,3790657.57684463
151,2886283.99784778
152,4698828.48845525
153,4655544.28082268
154,3477388.83426517
155,5248103.06459192
156,4769669.66517518
157,4368580.93508893
158,3073967.74605751
159,4831305.079849
160,3024907.89094553
161,3566356.78944027
162,3250107.55034726
163,5540161.57900197
164,5651500.43215044
165,2985486.10654495
166,4553272.6994118
167,3275858.39041603
168,3673546.90876555
169,5370641.51190279
170,4423455.50575629
171,3331967.73368151
172,3371550.67002423
173,3835246.9333923
174,4815008.77131953
175,2634375.6676405
176,5195387.33959808
177,6057857.70072954
178,3760691.95576557
179,3534613.72833576
180,4051509.48301618
181,4983916.92686005
182,6079162.92223838
183,4542732.41842996
184,4688036.19160742
185,4055505.89810852
186,3931291.10398989
187,6987489.94958427
188,4826577.11387847
189,4831275.32382696
190,4171644.46501956
191,5147229.2605191
192,5077768.54054282
193,3181230.40761215
194,4100860.15707244
195,4577845.38650551
196,4282817.15543987
197,2506684.53612968
198,3338316.54826471
199,4678345.11445492
200,4137206.0776428
201,3056497.95564964
202,4622219.130141
203,3913295.94841977
204,4429898.37828746
205,4820547.93307115
206,4704054.89638336
207,4303288.91490899
208,4675893.07699871
209,4700392.60326649
210,5334008.893763
211,4649586.40738656
212,2826437.26330579
213,3066458.93015188
214,5069574.06449455
215,2237661.83914176
216,4868794.79491944
217,4866089.74235316
218,4647476.55146189
219,2799268.87785316
220,5540584.13562053
221,5670766.16345524
222,5469870.26902488
223,4722975.33015929
224,4728009.13748162
225,4479185.17144515
226,2977374.76157655
227,4685808.88405762
228,3268672.11756499
229,3746726.29520334
230,4688192.10132146
231,4680093.04147404
232,4384115.7317289
233,4408207.52880451
234,3579823.81037058
235,5344560.14774671
236,4061778.13903504
237,3786989.63717397
238,4082157.65512959
239,3896909.5547059
240,4058477.5190278
241,4628299.00507688
242,3343399.67650638
243,4345369.52500206
244,4721296.71932861
245,5250049.45055688
246,4586150.50470016
247,5862720.92492601
248,4280028.22173138
249,4740114.66820523
250,2820322.70704002
251,4553259.09981262
252,4877785.78611649
253,4750263.64230768
254,4304148.24421391
255,3672110.9552964
256,3748868.82965239
257,4241204.79495592
258,3538038.06723941
259,3733023.49693528
260,4562253.62413217
261,3288372.88290282
262,5041862.40724631
263,4655269.62321071
264,2233727.38169176
265,4746263.39919826
266,4479004.9913341
267,5334992.2446783
268,4845409.51817798
269,4678219.17156111
270,4212255.80504454
271,2594428.67493676
272,4806322.22699883
273,4891383.78603409
274,4252104.98745365
275,5259497.20751957
276,6524946.12580234
277,5020818.38930128
278,5908409.24403422
279,3824284.02297812
280,4883107.80272625
281,3228988.4728538
282,3264865.3559171
283,4196004.60448608
284,4891616.92587836
285,2601104.20397792
286,5293764.36069362
287,4323707.00531787
288,4689222.94810758
289,3389628.68746812
290,3955917.31723767
291,5121962.0564528
292,3328772.71701384
293,4412566.07975347
294,3396560.22559875
295,5778379.92799331
296,4275411.99875648
297,5406206.3555151
298,4354270.04436094
299,4540794.78792673
300,5130747.17956207
301,5459815.90838745
302,4796070.07441269
303,4626916.78186925
304,4751059.38278445
305,4803788.6164244
306,4435798.42270341
307,4865008.3603304
308,2236894.39519128
309,4008972.09333787
310,4633331.60661519
311,4143465.90852607
312,3482124.59777237
313,4748046.05796474
314,3069674.9023623
315,2871686.02621278
